experiment,variant,branch,threads,buckets,key_space,total_ops,get_pct,put_pct,remove_pct,repeat,ms
contention_sweep,lockfree_dynamic_resize,codex/lock-free-resize-experiment,16,262144,16384,262144,70,20,10,2,18.160
contention_sweep,lockfree_dynamic_resize,codex/lock-free-resize-experiment,16,262144,16384,262144,70,20,10,3,15.064
contention_sweep,lockfree_dynamic_resize,codex/lock-free-resize-experiment,16,262144,65536,262144,70,20,10,1,15.411
contention_sweep,lockfree_dynamic_resize,codex/lock-free-resize-experiment,16,262144,65536,262144,70,20,10,2,11.698
contention_sweep,lockfree_dynamic_resize,codex/lock-free-resize-experiment,16,262144,65536,262144,70,20,10,3,11.968
contention_sweep,lockfree_open_addressing,codex/open-addressing-experiment,4,262144,64,262144,70,20,10,1,136.572
contention_sweep,lockfree_open_addressing,codex/open-addressing-experiment,4,262144,64,262144,70,20,10,2,121.857
contention_sweep,lockfree_open_addressing,codex/open-addressing-experiment,4,262144,64,262144,70,20,10,3,119.590
contention_sweep,lockfree_open_addressing,codex/open-addressing-experiment,4,262144,1024,262144,70,20,10,1,100.563
contention_sweep,lockfree_open_addressing,codex/open-addressing-experiment,4,262144,1024,262144,70,20,10,2,112.694
contention_sweep,lockfree_open_addressing,codex/open-addressing-experiment,4,262144,1024,262144,70,20,10,3,106.657
contention_sweep,lockfree_open_addressing,codex/open-addressing-experiment,4,262144,16384,262144,70,20,10,1,119.297
contention_sweep,lockfree_open_addressing,codex/open-addressing-experiment,4,262144,16384,262144,70,20,10,2,204.027
contention_sweep,lockfree_open_addressing,codex/open-addressing-experiment,4,262144,16384,262144,70,20,10,3,146.482
contention_sweep,lockfree_open_addressing,codex/open-addressing-experiment,4,262144,65536,262144,70,20,10,1,186.322
contention_sweep,lockfree_open_addressing,codex/open-addressing-experiment,4,262144,65536,262144,70,20,10,2,127.785
contention_sweep,lockfree_open_addressing,codex/open-addressing-experiment,4,262144,65536,262144,70,20,10,3,192.400
contention_sweep,lockfree_open_addressing,codex/open-addressing-experiment,16,262144,64,262144,70,20,10,1,138.675
contention_sweep,lockfree_open_addressing,codex/open-addressing-experiment,16,262144,64,262144,70,20,10,2,156.148
contention_sweep,lockfree_open_addressing,codex/open-addressing-experiment,16,262144,64,262144,70,20,10,3,134.104
contention_sweep,lockfree_open_addressing,codex/open-addressing-experiment,16,262144,1024,262144,70,20,10,1,114.837
contention_sweep,lockfree_open_addressing,codex/open-addressing-experiment,16,262144,1024,262144,70,20,10,2,155.172
contention_sweep,lockfree_open_addressing,codex/open-addressing-experiment,16,262144,1024,262144,70,20,10,3,150.352
contention_sweep,lockfree_open_addressing,codex/open-addressing-experiment,16,262144,16384,262144,70,20,10,1,173.822
contention_sweep,lockfree_open_addressing,codex/open-addressing-experiment,16,262144,16384,262144,70,20,10,2,184.615
contention_sweep,lockfree_open_addressing,codex/open-addressing-experiment,16,262144,16384,262144,70,20,10,3,180.166
contention_sweep,lockfree_open_addressing,codex/open-addressing-experiment,16,262144,65536,262144,70,20,10,1,139.693
contention_sweep,lockfree_open_addressing,codex/open-addressing-experiment,16,262144,65536,262144,70,20,10,2,139.467
contention_sweep,lockfree_open_addressing,codex/open-addressing-experiment,16,262144,65536,262144,70,20,10,3,180.319
